"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Note","Rank","Parent_name","Parent_NCBI_ID","Parent_rank","Confidence_in_curation"
122587,NA,NA,"Neisseria meningitidis Z2491 (serogroup A)","genome size",2184406,"Kegg","igc","usually",NA,"strain","Neisseria meningitidis",487,"species","High"
138677,NA,NA,"Chlamydia pneumoniae J138","genome size",1226565,"Kegg","igc","usually",NA,"strain","Chlamydia pneumoniae",83558,"species","High"
160492,NA,NA,"Xylella fastidiosa 9a5c","genome size",2731750,"Kegg","igc","usually",NA,"strain","Xylella fastidiosa",2371,"species","High"
243277,NA,NA,"Vibrio cholerae O1 biovar El Tor N16961","genome size",4033464,"Kegg","igc","usually",NA,"strain","Vibrio cholerae",666,"species","High"
208964,NA,NA,"Pseudomonas aeruginosa PAO1","genome size",6264404,"Kegg","igc","usually",NA,"strain","Pseudomonas aeruginosa",287,"species","High"
107806,NA,NA,"Buchnera aphidicola APS (Acyrthosiphon pisum)","genome size",655725,"Kegg","igc","usually",NA,"strain","Buchnera aphidicola",9,"species","High"
273075,NA,NA,"Thermoplasma acidophilum","genome size",1564906,"Kegg","igc","usually",NA,"strain","Thermoplasma acidophilum",2303,"species","High"
64091,NA,NA,"Halobacterium salinarum NRC-1","genome size",2571010,"Kegg","igc","usually",NA,"strain","Halobacterium salinarum",2242,"species","High"
272558,NA,NA,"Bacillus halodurans","genome size",4202352,"Kegg","igc","usually",NA,"strain","Halalkalibacterium halodurans",86665,"species","High"
273119,NA,NA,"Ureaplasma parvum serovar 3 ATCC 700970","genome size",751719,"Kegg","igc","usually",NA,"strain","Ureaplasma parvum",134821,"species","High"
273116,NA,NA,"Thermoplasma volcanium","genome size",1584804,"Kegg","igc","usually",NA,"strain","Thermoplasma volcanium",50339,"species","High"
266835,NA,NA,"Mesorhizobium loti MAFF303099","genome size",7596297,"Kegg","igc","usually",NA,"strain","Mesorhizobium japonicum",2066070,"species","High"
155864,NA,NA,"Escherichia coli O157:H7 EDL933 (EHEC)","genome size",5620522,"Kegg","igc","usually",NA,"strain","Escherichia coli",562,"species","High"
272623,NA,NA,"Lactococcus lactis subsp. lactis Il1403","genome size",2365589,"Kegg","igc","usually",NA,"strain","Lactococcus lactis",1358,"species","High"
272843,NA,NA,"Pasteurella multocida subsp. multocida Pm70","genome size",2257487,"Kegg","igc","usually",NA,"strain","Pasteurella multocida",747,"species","High"
272631,NA,NA,"Mycobacterium leprae TN","genome size",3268203,"Kegg","igc","usually",NA,"strain","Mycobacterium leprae",1769,"species","High"
386585,NA,NA,"Escherichia coli O157:H7 Sakai (EHEC)","genome size",5594477,"Kegg","igc","usually",NA,"strain","Escherichia coli",562,"species","High"
190650,NA,NA,"Caulobacter crescentus CB15","genome size",4016947,"Kegg","igc","usually",NA,"strain","Caulobacter vibrioides",155892,"species","High"
160490,NA,NA,"Streptococcus pyogenes M1 GAS (serotype M1)","genome size",1852433,"Kegg","igc","usually",NA,"strain","Streptococcus pyogenes",1314,"species","High"
158879,NA,NA,"Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)","genome size",2839469,"Kegg","igc","usually",NA,"strain","Staphylococcus aureus",1280,"species","High"
158878,NA,NA,"Staphylococcus aureus subsp. aureus Mu50 (MRSA/VISA)","genome size",2903636,"Kegg","igc","usually",NA,"strain","Staphylococcus aureus",1280,"species","High"
83331,NA,NA,"Mycobacterium tuberculosis CDC1551","genome size",4403837,"Kegg","igc","usually",NA,"strain","Mycobacterium tuberculosis",1773,"species","High"
273057,NA,NA,"Sulfolobus solfataricus P2","genome size",2992245,"Kegg","igc","usually",NA,"strain","Saccharolobus solfataricus",2287,"species","High"
272635,NA,NA,"Mycoplasma pulmonis","genome size",963879,"Kegg","igc","usually",NA,"strain","Mycoplasmopsis pulmonis",2107,"species","High"
272562,NA,NA,"Clostridium acetobutylicum ATCC 824","genome size",4132880,"Kegg","igc","usually",NA,"strain","Clostridium acetobutylicum",1488,"species","High"
170187,NA,NA,"Streptococcus pneumoniae TIGR4 (virulent serotype 4)","genome size",2160842,"Kegg","igc","usually",NA,"strain","Streptococcus pneumoniae",1313,"species","High"
266834,NA,NA,"Sinorhizobium meliloti 1021","genome size",6691694,"Kegg","igc","usually",NA,"strain","Sinorhizobium meliloti",382,"species","High"
171101,NA,NA,"Streptococcus pneumoniae R6 (avirulent)","genome size",2038615,"Kegg","igc","usually",NA,"strain","Streptococcus pneumoniae",1313,"species","High"
272944,NA,NA,"Rickettsia conorii","genome size",1268755,"Kegg","igc","usually",NA,"strain","Rickettsia conorii",781,"species","High"
273063,NA,NA,"Sulfolobus tokodaii","genome size",2694756,"Kegg","igc","usually",NA,"strain","Sulfurisphaera tokodaii",111955,"species","High"
214092,NA,NA,"Yersinia pestis CO92 (biovar Orientalis)","genome size",4829855,"Kegg","igc","usually",NA,"strain","Yersinia pestis",632,"species","High"
220341,NA,NA,"Salmonella enterica subsp. enterica serovar Typhi CT18","genome size",5133713,"Kegg","igc","usually",NA,"strain","Salmonella enterica",28901,"species","High"
99287,NA,NA,"Salmonella enterica subsp. enterica serovar Typhimurium LT2","genome size",4951383,"Kegg","igc","usually",NA,"strain","Salmonella enterica",28901,"species","High"
169963,NA,NA,"Listeria monocytogenes EGD-e","genome size",2944528,"Kegg","igc","usually",NA,"strain","Listeria monocytogenes",1639,"species","High"
272626,NA,NA,"Listeria innocua","genome size",3093113,"Kegg","igc","usually",NA,"strain","Listeria innocua",1642,"species","High"
316407,NA,NA,"Escherichia coli K-12 W3110","genome size",4646332,"Kegg","igc","usually",NA,"no rank","Escherichia coli K-12",83333,"strain","High"
103690,NA,NA,"Nostoc sp. PCC 7120","genome size",7211789,"Kegg","igc","usually",NA,"species","Nostoc",1177,"genus","High"
176299,NA,NA,"Agrobacterium fabrum","genome size",5674258,"Kegg","igc","usually",NA,"strain","Agrobacterium fabrum",1176649,"species","High"
267608,NA,NA,"Ralstonia solanacearum GMI1000","genome size",5810922,"Kegg","igc","usually",NA,"strain","Ralstonia solanacearum",305,"species","High"
224914,NA,NA,"Brucella melitensis bv. 1 16M","genome size",3294931,"Kegg","igc","usually",NA,"strain","Brucella melitensis",29459,"species","High"
178306,NA,NA,"Pyrobaculum aerophilum","genome size",2222430,"Kegg","igc","usually",NA,"strain","Pyrobaculum aerophilum",13773,"species","High"
195102,NA,NA,"Clostridium perfringens 13","genome size",3085740,"Kegg","igc","usually",NA,"strain","Clostridium perfringens",1502,"species","High"
186497,NA,NA,"Pyrococcus furiosus DSM 3638","genome size",1908256,"Kegg","igc","usually",NA,"strain","Pyrococcus furiosus",2261,"species","High"
190304,NA,NA,"Fusobacterium nucleatum subsp. nucleatum ATCC 25586","genome size",2174500,"Kegg","igc","usually",NA,"strain","Fusobacterium nucleatum",851,"species","High"
190192,NA,NA,"Methanopyrus kandleri","genome size",1694969,"Kegg","igc","usually",NA,"strain","Methanopyrus kandleri",2320,"species","High"
186103,NA,NA,"Streptococcus pyogenes MGAS8232 (serotype M18)","genome size",1895017,"Kegg","igc","usually",NA,"strain","Streptococcus pyogenes",1314,"species","High"
188937,NA,NA,"Methanosarcina acetivorans","genome size",5751492,"Kegg","igc","usually",NA,"strain","Methanosarcina acetivorans",2214,"species","High"
273068,NA,NA,"Thermoanaerobacter tengcongensis","genome size",2689445,"Kegg","igc","usually",NA,"strain","Caldanaerobacter subterraneus",911092,"species","High"
192952,NA,NA,"Methanosarcina mazei Go1","genome size",4096345,"Kegg","igc","usually",NA,"strain","Methanosarcina mazei",2209,"species","High"
190485,NA,NA,"Xanthomonas campestris pv. campestris ATCC 33913","genome size",5076188,"Kegg","igc","usually",NA,"strain","Xanthomonas campestris",339,"species","High"
190486,NA,NA,"Xanthomonas citri pv. citri 306","genome size",5274174,"Kegg","igc","usually",NA,"strain","Xanthomonas citri",346,"species","High"
100226,NA,NA,"Streptomyces coelicolor","genome size",9054847,"Kegg","igc","usually",NA,"strain","Streptomyces coelicolor",1902,"species","High"
196620,NA,NA,"Staphylococcus aureus subsp. aureus MW2 (CA-MRSA)","genome size",2820462,"Kegg","igc","usually",NA,"strain","Staphylococcus aureus",1280,"species","High"
198804,NA,NA,"Buchnera aphidicola Sg (Schizaphis graminum)","genome size",641454,"Kegg","igc","usually",NA,"strain","Buchnera aphidicola",9,"species","High"
194439,NA,NA,"Chlorobium tepidum","genome size",2154946,"Kegg","igc","usually",NA,"strain","Chlorobaculum tepidum",1097,"species","High"
198466,NA,NA,"Streptococcus pyogenes MGAS315 (serotype M3)","genome size",1900521,"Kegg","igc","usually",NA,"strain","Streptococcus pyogenes",1314,"species","High"
197221,NA,NA,"Thermosynechococcus elongatus","genome size",2593857,"Kegg","igc","usually",NA,"strain","Thermosynechococcus vestitus",146786,"species","High"
208435,NA,NA,"Streptococcus agalactiae 2603 (serotype V)","genome size",2160267,"Kegg","igc","usually",NA,"strain","Streptococcus agalactiae",1311,"species","High"
187410,NA,NA,"Yersinia pestis KIM10+ (biovar Mediaevalis)","genome size",4701745,"Kegg","igc","usually",NA,"strain","Yersinia pestis",632,"species","High"
221109,NA,NA,"Oceanobacillus iheyensis","genome size",3630528,"Kegg","igc","usually",NA,"strain","Oceanobacillus iheyensis",182710,"species","High"
206672,NA,NA,"Bifidobacterium longum NCC2705","genome size",2260266,"Kegg","igc","usually",NA,"strain","Bifidobacterium longum",216816,"species","High"
204722,NA,NA,"Brucella suis 1330","genome size",3315175,"Kegg","igc","usually",NA,"strain","Brucella suis",29461,"species","High"
198214,NA,NA,"Shigella flexneri 301 (serotype 2a)","genome size",4828820,"Kegg","igc","usually",NA,"strain","Shigella flexneri",623,"species","High"
189518,NA,NA,"Leptospira interrogans serovar Lai 56601","genome size",4698134,"Kegg","igc","usually",NA,"strain","Leptospira interrogans",173,"species","High"
211586,NA,NA,"Shewanella oneidensis","genome size",5131424,"Kegg","igc","usually",NA,"strain","Shewanella oneidensis",70863,"species","High"
210007,NA,NA,"Streptococcus mutans UA159","genome size",2032925,"Kegg","igc","usually",NA,"strain","Streptococcus mutans",1309,"species","High"
36870,NA,NA,"Wigglesworthia glossinidia brevipalpis (Glossina brevipalpis)","genome size",703004,"Kegg","igc","usually",NA,"forma specialis","Wigglesworthia glossinidia",51229,"species","High"
196627,NA,NA,"Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)","genome size",3309401,"Kegg","igc","usually",NA,"strain","Corynebacterium glutamicum",1718,"species","High"
196164,NA,NA,"Corynebacterium efficiens","genome size",3219505,"Kegg","igc","usually",NA,"strain","Corynebacterium efficiens",152794,"species","High"
211110,NA,NA,"Streptococcus agalactiae NEM316 (serotype III)","genome size",2211485,"Kegg","igc","usually",NA,"strain","Streptococcus agalactiae",1311,"species","High"
199310,NA,NA,"Escherichia coli O6:K2:H1 CFT073 (UPEC)","genome size",5231428,"Kegg","igc","usually",NA,"strain","Escherichia coli",562,"species","High"
272633,NA,NA,"Mycoplasma penetrans","genome size",1358633,"Kegg","igc","usually",NA,"strain","Malacoplasma penetrans",28227,"species","High"
216895,NA,NA,"Vibrio vulnificus CMCP6","genome size",5126696,"Kegg","igc","usually",NA,"strain","Vibrio vulnificus",672,"species","High"
224911,NA,NA,"Bradyrhizobium diazoefficiens USDA 110","genome size",9105828,"Kegg","igc","usually",NA,"strain","Bradyrhizobium diazoefficiens",1355477,"species","High"
176280,NA,NA,"Staphylococcus epidermidis ATCC 12228","genome size",2564615,"Kegg","igc","usually",NA,"strain","Staphylococcus epidermidis",1282,"species","High"
224915,NA,NA,"Buchnera aphidicola Bp (Baizongia pistaciae)","genome size",618379,"Kegg","igc","usually",NA,"strain","Buchnera aphidicola",9,"species","High"
212717,NA,NA,"Clostridium tetani E88","genome size",2873333,"Kegg","igc","usually",NA,"strain","Clostridium tetani",1513,"species","High"
183190,NA,NA,"Xylella fastidiosa Temecula1","genome size",2521148,"Kegg","igc","usually",NA,"strain","Xylella fastidiosa",2371,"species","High"
160488,NA,NA,"Pseudomonas putida KT2440","genome size",6181873,"Kegg","igc","usually",NA,"strain","Pseudomonas putida",303,"species","High"
220668,NA,NA,"Lactobacillus plantarum WCFS1","genome size",3348624,"Kegg","igc","usually",NA,"strain","Lactiplantibacillus plantarum",1590,"species","High"
203267,NA,NA,"Tropheryma whipplei Twist","genome size",927303,"Kegg","igc","usually",NA,"strain","Tropheryma whipplei",2039,"species","High"
218496,NA,NA,"Tropheryma whipplei TW08/27","genome size",925938,"Kegg","igc","usually",NA,"strain","Tropheryma whipplei",2039,"species","High"
223283,NA,NA,"Pseudomonas syringae pv. tomato DC3000","genome size",6538260,"Kegg","igc","usually",NA,"strain","Pseudomonas syringae group genomosp. 3",251701,"species","High"
193567,NA,NA,"Streptococcus pyogenes SSI-1 (serotype M3)","genome size",1894275,"Kegg","igc","usually",NA,"strain","Streptococcus pyogenes",1314,"species","High"
223926,NA,NA,"Vibrio parahaemolyticus RIMD 2210633","genome size",5165770,"Kegg","igc","usually",NA,"strain","Vibrio parahaemolyticus",670,"species","High"
209261,NA,NA,"Salmonella enterica subsp. enterica serovar Typhi Ty2","genome size",4791961,"Kegg","igc","usually",NA,"strain","Salmonella enterica",28901,"species","High"
226186,NA,NA,"Bacteroides thetaiotaomicron VPI-5482","genome size",6293399,"Kegg","igc","usually",NA,"strain","Bacteroides thetaiotaomicron",818,"species","High"
226185,NA,NA,"Enterococcus faecalis V583","genome size",3359974,"Kegg","igc","usually",NA,"strain","Enterococcus faecalis",1351,"species","High"
227377,NA,NA,"Coxiella burnetii RSA 493","genome size",2032807,"Kegg","igc","usually",NA,"strain","Coxiella burnetii",777,"species","High"
227941,NA,NA,"Chlamydophila caviae","genome size",1181356,"Kegg","igc","usually",NA,"isolate","Chlamydia caviae",83557,"species","High"
227882,NA,NA,"Streptomyces avermitilis","genome size",9119895,"Kegg","igc","usually",NA,"strain","Streptomyces avermitilis",33903,"species","High"
226900,NA,NA,"Bacillus cereus ATCC 14579","genome size",5427083,"Kegg","igc","usually",NA,"strain","Bacillus cereus",1396,"species","High"
198215,NA,NA,"Shigella flexneri 2457T (serotype 2a)","genome size",4599354,"Kegg","igc","usually",NA,"strain","Shigella flexneri",623,"species","High"
198094,NA,NA,"Bacillus anthracis Ames","genome size",5227293,"Kegg","igc","usually",NA,"strain","Bacillus anthracis",1392,"species","High"
228410,NA,NA,"Nitrosomonas europaea","genome size",2812094,"Kegg","igc","usually",NA,"strain","Nitrosomonas europaea",915,"species","High"
710127,NA,NA,"Mycoplasma gallisepticum R(low)","genome size",1012800,"Kegg","igc","usually",NA,"no rank","Mycoplasma gallisepticum str. R",233150,"strain","High"
233413,NA,NA,"Mycobacterium bovis AF2122/97","genome size",4345492,"Kegg","igc","usually",NA,"strain","Mycobacterium tuberculosis",1773,"species","High"
235279,NA,NA,"Helicobacter hepaticus","genome size",1799146,"Kegg","igc","usually",NA,"strain","Helicobacter hepaticus",32025,"species","High"
243090,NA,NA,"Rhodopirellula baltica","genome size",7145576,"Kegg","igc","usually",NA,"strain","Rhodopirellula baltica",265606,"species","High"
233412,NA,NA,"Haemophilus ducreyi","genome size",1698955,"Kegg","igc","usually",NA,"strain","[Haemophilus] ducreyi",730,"species","High"
182082,NA,NA,"Chlamydia pneumoniae TW183","genome size",1225935,"Kegg","igc","usually",NA,"strain","Chlamydia pneumoniae",83558,"species","High"
167539,NA,NA,"Prochlorococcus marinus SS120","genome size",1751080,"Kegg","igc","usually",NA,"strain","Prochlorococcus marinus",1219,"species","High"
203907,NA,NA,"Candidatus Blochmannia floridanus (Camponotus floridanus)","genome size",705557,"Kegg","igc","usually",NA,"species","Candidatus Blochmannia",203804,"genus","High"
257313,NA,NA,"Bordetella pertussis Tohama I","genome size",4086189,"Kegg","igc","usually",NA,"isolate","Bordetella pertussis",520,"species","High"
257311,NA,NA,"Bordetella parapertussis 12822","genome size",4773551,"Kegg","igc","usually",NA,"strain","Bordetella parapertussis",519,"species","High"
257310,NA,NA,"Bordetella bronchiseptica RB50","genome size",5339179,"Kegg","igc","usually",NA,"strain","Bordetella bronchiseptica",518,"species","High"
59919,NA,NA,"Prochlorococcus marinus MED4","genome size",1657990,"Kegg","igc","usually",NA,"strain","Prochlorococcus marinus",1219,"species","High"
74547,NA,NA,"Prochlorococcus marinus MIT 9313","genome size",2410873,"Kegg","igc","usually",NA,"strain","Prochlorococcus marinus",1219,"species","High"
84588,NA,NA,"Synechococcus sp. WH8102","genome size",2434428,"Kegg","igc","usually",NA,"strain","Parasynechococcus marenigrum",2881428,"species","High"
242619,NA,NA,"Porphyromonas gingivalis W83","genome size",2343476,"Kegg","igc","usually",NA,"strain","Porphyromonas gingivalis",837,"species","High"
273121,NA,NA,"Wolinella succinogenes","genome size",2110355,"Kegg","igc","usually",NA,"strain","Wolinella succinogenes",844,"species","High"
243365,NA,NA,"Chromobacterium violaceum","genome size",4751080,"Kegg","igc","usually",NA,"strain","Chromobacterium violaceum",536,"species","High"
251221,NA,NA,"Gloeobacter violaceus","genome size",4659019,"Kegg","igc","usually",NA,"strain","Gloeobacter violaceus",33072,"species","High"
243265,NA,NA,"Photorhabdus luminescens","genome size",5688987,"Kegg","igc","usually",NA,"strain","Photorhabdus laumondii",2218628,"species","High"
196600,NA,NA,"Vibrio vulnificus YJ016","genome size",5260086,"Kegg","igc","usually",NA,"strain","Vibrio vulnificus",672,"species","High"
257309,NA,NA,"Corynebacterium diphtheriae NCTC 13129","genome size",2488635,"Kegg","igc","usually",NA,"strain","Corynebacterium diphtheriae",1717,"species","High"
228908,NA,NA,"Nanoarchaeum equitans","genome size",490885,"Kegg","igc","usually",NA,"strain","Nanoarchaeum equitans",160232,"species","High"
258594,NA,NA,"Rhodopseudomonas palustris CGA009","genome size",5467640,"Kegg","igc","usually",NA,"strain","Rhodopseudomonas palustris",1076,"species","High"
262768,NA,NA,"Onion yellows phytoplasma OY-M","genome size",853092,"Kegg","igc","usually",NA,"strain","Onion yellows phytoplasma",100379,"species","High"
243231,NA,NA,"Geobacter sulfurreducens PCA","genome size",3814128,"Kegg","igc","usually",NA,"strain","Geobacter sulfurreducens",35554,"species","High"
262316,NA,NA,"Mycobacterium avium subsp. paratuberculosis K-10","genome size",4829781,"Kegg","igc","usually",NA,"strain","Mycobacterium avium",1764,"species","High"
243275,NA,NA,"Treponema denticola","genome size",2843201,"Kegg","igc","usually",NA,"strain","Treponema denticola",158,"species","High"
257314,NA,NA,"Lactobacillus johnsonii NCC 533","genome size",1992676,"Kegg","igc","usually",NA,"strain","Lactobacillus johnsonii",33959,"species","High"
264462,NA,NA,"Bdellovibrio bacteriovorus HD100","genome size",3782950,"Kegg","igc","usually",NA,"strain","Bdellovibrio bacteriovorus",959,"species","High"
163164,NA,NA,"Wolbachia wMel (Drosophila melanogaster)","genome size",1267782,"Kegg","igc","usually",NA,"species","Wolbachia",953,"genus","High"
272632,NA,NA,"Mycoplasma mycoides subsp. mycoides SC PG1","genome size",1211703,"Kegg","igc","usually",NA,"no rank","Mycoplasma mycoides subsp. mycoides SC",44101,"strain","High"
222523,NA,NA,"Bacillus cereus ATCC 10987","genome size",5432652,"Kegg","igc","usually",NA,"strain","Bacillus cereus",1396,"species","High"
269084,NA,NA,"Synechococcus elongatus PCC6301","genome size",2696255,"Kegg","igc","usually",NA,"strain","Synechococcus elongatus",32046,"species","High"
267377,NA,NA,"Methanococcus maripaludis S2","genome size",1661137,"Kegg","igc","usually",NA,"strain","Methanococcus maripaludis",39152,"species","High"
229193,NA,NA,"Yersinia pestis 91001 (biovar Microtus)","genome size",4803217,"Kegg","igc","usually",NA,"strain","Yersinia pestis",632,"species","High"
267671,NA,NA,"Leptospira interrogans serovar Copenhageni","genome size",4627366,"Kegg","igc","usually",NA,"strain","Leptospira interrogans",173,"species","High"
262724,NA,NA,"Thermus thermophilus HB27","genome size",2127482,"Kegg","igc","usually",NA,"strain","Thermus thermophilus",274,"species","High"
882,NA,NA,"Desulfovibrio vulgaris Hildenborough","genome size",3773159,"Kegg","igc","usually",NA,"strain","Desulfovibrio vulgaris",881,"species","High"
264201,NA,NA,"Candidatus Protochlamydia amoebophila","genome size",2414465,"Kegg","igc","usually",NA,"strain","Candidatus Protochlamydia amoebophila",362787,"species","High"
298386,NA,NA,"Photobacterium profundum","genome size",6403280,"Kegg","igc","usually",NA,"strain","Photobacterium profundum",74109,"species","High"
265669,NA,NA,"Listeria monocytogenes F2365","genome size",2905187,"Kegg","igc","usually",NA,"strain","Listeria monocytogenes",1639,"species","High"
267748,NA,NA,"Mycoplasma mobile","genome size",777079,"Kegg","igc","usually",NA,"strain","Mesomycoplasma mobile",2118,"species","High"
263820,NA,NA,"Picrophilus torridus","genome size",1545895,"Kegg","igc","usually",NA,"strain","Picrophilus torridus",82076,"species","High"
261594,NA,NA,"Bacillus anthracis Ames Ancestor","genome size",5503926,"Kegg","igc","usually",NA,"strain","Bacillus anthracis",1392,"species","High"
281309,NA,NA,"Bacillus thuringiensis 97-27","genome size",5314794,"Kegg","igc","usually",NA,"strain","Bacillus thuringiensis",1428,"species","High"
283166,NA,NA,"Bartonella henselae Houston-1","genome size",1931047,"Kegg","igc","usually",NA,"strain","Bartonella henselae",38323,"species","High"
283165,NA,NA,"Bartonella quintana Toulouse","genome size",1581384,"Kegg","igc","usually",NA,"strain","Bartonella quintana",803,"species","High"
282458,NA,NA,"Staphylococcus aureus subsp. aureus MRSA252 (MRSA)","genome size",2902619,"Kegg","igc","usually",NA,"strain","Staphylococcus aureus",1280,"species","High"
282459,NA,NA,"Staphylococcus aureus subsp. aureus MSSA476 (MSSA)","genome size",2820454,"Kegg","igc","usually",NA,"strain","Staphylococcus aureus",1280,"species","High"
260799,NA,NA,"Bacillus anthracis Sterne","genome size",5228663,"Kegg","igc","usually",NA,"strain","Bacillus anthracis",1392,"species","High"
62977,NA,NA,"Acinetobacter sp. ADP1","genome size",3598621,"Kegg","igc","usually",NA,"strain","Acinetobacter baylyi",202950,"species","High"
218491,NA,NA,"Pectobacterium atrosepticum SCRI1043","genome size",5064019,"Kegg","igc","usually",NA,"strain","Pectobacterium atrosepticum",29471,"species","High"
265311,NA,NA,"Mesoplasma florum L1","genome size",793224,"Kegg","igc","usually",NA,"strain","Mesoplasma florum",2151,"species","High"
267747,NA,NA,"Propionibacterium acnes KPA171202","genome size",2560265,"Kegg","igc","usually",NA,"strain","Cutibacterium acnes",1747,"species","High"
281090,NA,NA,"Leifsonia xyli subsp. xyli CTCB07","genome size",2584158,"Kegg","igc","usually",NA,"strain","Leifsonia xyli",1575,"species","High"
286636,NA,NA,"Streptococcus pyogenes MGAS10394 (serotype M6)","genome size",1899877,"Kegg","igc","usually",NA,"strain","Streptococcus pyogenes",1314,"species","High"
177439,NA,NA,"Desulfotalea psychrophila","genome size",3659634,"Kegg","igc","usually",NA,"strain","Desulfotalea psychrophila",84980,"species","High"
257363,NA,NA,"Rickettsia typhi Wilmington","genome size",1111496,"Kegg","igc","usually",NA,"strain","Rickettsia typhi",785,"species","High"
290434,NA,NA,"Borreliella bavariensis PBi","genome size",986914,"Kegg","igc","usually",NA,"strain","Borreliella garinii",29519,"species","High"
273123,NA,NA,"Yersinia pseudotuberculosis IP 32953 (serotype I)","genome size",4840898,"Kegg","igc","usually",NA,"strain","Yersinia pseudotuberculosis",633,"species","High"
292459,NA,NA,"Symbiobacterium thermophilum","genome size",3566135,"Kegg","igc","usually",NA,"strain","Symbiobacterium thermophilum",2734,"species","High"
